RuleID,RuleType,FromClassName,FromAssetGroupCode,FROMASSETGROUP,FromAssetTypeCode,FROMASSETTYPE,FromTerminal,ToClassName,ToAssetGroupCode,TOASSETGROUP,ToAssetTypeCode,TOASSETTYPE,ToTerminal,ViaClassName,ViaAssetGroupCode,ViaAssetGroup,ViaAssetTypeCode,ViaAssetType,ViaTerminal
728,Containment,meh.unadmin.ElectricAssembly,1,High Voltage AC Power Factor Correcting Bank,1,Series,,meh.unadmin.ElectricLine,1,High Voltage Busbar,1,AC Station Single Phase,,,,,,,
729,Containment,meh.unadmin.ElectricAssembly,1,High Voltage AC Power Factor Correcting Bank,1,Series,,meh.unadmin.ElectricLine,1,High Voltage Busbar,2,AC Station Three Phase,,,,,,,
730,Containment,meh.unadmin.ElectricAssembly,1,High Voltage AC Power Factor Correcting Bank,1,Series,,meh.unadmin.ElectricLine,2,High Voltage Conductor,20,AC Overhead,,,,,,,
712,Containment,meh.unadmin.ElectricAssembly,1,High Voltage AC Power Factor Correcting Bank,1,Series,,meh.unadmin.ElectricDevice,2,High Voltage Arrester,21,HV Indoor Arrester,Single Terminal,,,,,,
725,Containment,meh.unadmin.ElectricAssembly,1,High Voltage AC Power Factor Correcting Bank,1,Series,,meh.unadmin.ElectricJunction,2,High Voltage Connection Point,21,AC Tap,,,,,,,
731,Containment,meh.unadmin.ElectricAssembly,1,High Voltage AC Power Factor Correcting Bank,1,Series,,meh.unadmin.ElectricLine,2,High Voltage Conductor,21,AC Submersible,,,,,,,
732,Containment,meh.unadmin.ElectricAssembly,1,High Voltage AC Power Factor Correcting Bank,1,Series,,meh.unadmin.ElectricLine,2,High Voltage Conductor,22,AC Underground,,,,,,,
713,Containment,meh.unadmin.ElectricAssembly,1,High Voltage AC Power Factor Correcting Bank,1,Series,,meh.unadmin.ElectricDevice,2,High Voltage Arrester,23,HV Station Arrester,Single Terminal,,,,,,
733,Containment,meh.unadmin.ElectricAssembly,1,High Voltage AC Power Factor Correcting Bank,1,Series,,meh.unadmin.ElectricLine,3,High Voltage Connector,40,AC Connector,,,,,,,
714,Containment,meh.unadmin.ElectricAssembly,1,High Voltage AC Power Factor Correcting Bank,1,Series,,meh.unadmin.ElectricDevice,3,High Voltage Control Unit,41,HV Capacitor,,,,,,,
726,Containment,meh.unadmin.ElectricAssembly,1,High Voltage AC Power Factor Correcting Bank,1,Series,,meh.unadmin.ElectricJunction,3,High Voltage Line End,41,AC,,,,,,,
715,Containment,meh.unadmin.ElectricAssembly,1,High Voltage AC Power Factor Correcting Bank,1,Series,,meh.unadmin.ElectricDevice,3,High Voltage Control Unit,42,Switch and Breaker,,,,,,,
727,Containment,meh.unadmin.ElectricAssembly,1,High Voltage AC Power Factor Correcting Bank,1,Series,,meh.unadmin.ElectricJunction,3,High Voltage Line End,43,AC Riser,,,,,,,
716,Containment,meh.unadmin.ElectricAssembly,1,High Voltage AC Power Factor Correcting Bank,1,Series,,meh.unadmin.ElectricDevice,5,High Voltage Line Monitor and Relay,82,HV Load Monitor,Single Terminal,,,,,,
717,Containment,meh.unadmin.ElectricAssembly,1,High Voltage AC Power Factor Correcting Bank,1,Series,,meh.unadmin.ElectricDevice,5,High Voltage Line Monitor and Relay,83,HV Relay,,,,,,,
718,Containment,meh.unadmin.ElectricAssembly,1,High Voltage AC Power Factor Correcting Bank,1,Series,,meh.unadmin.ElectricDevice,6,High Voltage Power Conversion,101,Inverter,,,,,,,
719,Containment,meh.unadmin.ElectricAssembly,1,High Voltage AC Power Factor Correcting Bank,1,Series,,meh.unadmin.ElectricDevice,6,High Voltage Power Conversion,102,Rectifier,,,,,,,
720,Containment,meh.unadmin.ElectricAssembly,1,High Voltage AC Power Factor Correcting Bank,1,Series,,meh.unadmin.ElectricDevice,7,High Voltage Power Factor Correcting,121,AC Capacitor,Single Terminal,,,,,,
722,Containment,meh.unadmin.ElectricAssembly,1,High Voltage AC Power Factor Correcting Bank,1,Series,,meh.unadmin.ElectricDevice,7,High Voltage Power Factor Correcting,122,AC Wave Trap,Single Terminal,,,,,,
721,Containment,meh.unadmin.ElectricAssembly,1,High Voltage AC Power Factor Correcting Bank,1,Series,,meh.unadmin.ElectricDevice,7,High Voltage Power Factor Correcting,123,AC Reactor,Single Terminal,,,,,,
723,Containment,meh.unadmin.ElectricAssembly,1,High Voltage AC Power Factor Correcting Bank,1,Series,,meh.unadmin.ElectricDevice,10,High Voltage Switch,181,AC Circuit Breaker,,,,,,,
724,Containment,meh.unadmin.ElectricAssembly,1,High Voltage AC Power Factor Correcting Bank,1,Series,,meh.unadmin.ElectricDevice,10,High Voltage Switch,183,AC Switchgear,Single Terminal,,,,,,
750,Containment,meh.unadmin.ElectricAssembly,1,High Voltage AC Power Factor Correcting Bank,2,Shunt,,meh.unadmin.ElectricLine,1,High Voltage Busbar,1,AC Station Single Phase,,,,,,,
751,Containment,meh.unadmin.ElectricAssembly,1,High Voltage AC Power Factor Correcting Bank,2,Shunt,,meh.unadmin.ElectricLine,1,High Voltage Busbar,2,AC Station Three Phase,,,,,,,
752,Containment,meh.unadmin.ElectricAssembly,1,High Voltage AC Power Factor Correcting Bank,2,Shunt,,meh.unadmin.ElectricLine,2,High Voltage Conductor,20,AC Overhead,,,,,,,
734,Containment,meh.unadmin.ElectricAssembly,1,High Voltage AC Power Factor Correcting Bank,2,Shunt,,meh.unadmin.ElectricDevice,2,High Voltage Arrester,21,HV Indoor Arrester,Single Terminal,,,,,,
