RuleID,RuleType,FromClassName,FromAssetGroupCode,fromGroup,FromAssetTypeCode,fromType,FromTerminal,ToClassName,ToAssetGroupCode,toGroup,ToAssetTypeCode,toType,ToTerminal,viaFeature,ViaAssetGroupCode,viaGroup,ViaAssetTypeCode,viaType,ViaTerminal
1924,EdgeJunctionEdgeConnectivity,meh.unadmin.ElectricLine,1,High Voltage Busbar,1,AC Station Single Phase,,meh.unadmin.ElectricLine,3,High Voltage Connector,40,AC Connector,,meh.unadmin.ElectricJunction,3,High Voltage Line End,45,AC Busbar Terminator,
1925,EdgeJunctionEdgeConnectivity,meh.unadmin.ElectricLine,1,High Voltage Busbar,2,AC Station Three Phase,,meh.unadmin.ElectricLine,3,High Voltage Connector,40,AC Connector,,meh.unadmin.ElectricJunction,3,High Voltage Line End,45,AC Busbar Terminator,
1926,EdgeJunctionEdgeConnectivity,meh.unadmin.ElectricLine,1,High Voltage Busbar,3,DC Station,,meh.unadmin.ElectricLine,3,High Voltage Connector,41,DC Connector,,meh.unadmin.ElectricJunction,3,High Voltage Line End,46,DC Busbar Terminator,
1927,EdgeJunctionEdgeConnectivity,meh.unadmin.ElectricLine,2,High Voltage Conductor,20,AC Overhead,,meh.unadmin.ElectricLine,2,High Voltage Conductor,21,AC Submersible,,meh.unadmin.ElectricJunction,3,High Voltage Line End,43,AC Riser,
1928,EdgeJunctionEdgeConnectivity,meh.unadmin.ElectricLine,2,High Voltage Conductor,20,AC Overhead,,meh.unadmin.ElectricLine,2,High Voltage Conductor,22,AC Underground,,meh.unadmin.ElectricJunction,3,High Voltage Line End,43,AC Riser,
1929,EdgeJunctionEdgeConnectivity,meh.unadmin.ElectricLine,2,High Voltage Conductor,23,DC Overhead,,meh.unadmin.ElectricLine,2,High Voltage Conductor,24,DC Submersible,,meh.unadmin.ElectricJunction,3,High Voltage Line End,44,DC Riser,
1930,EdgeJunctionEdgeConnectivity,meh.unadmin.ElectricLine,2,High Voltage Conductor,23,DC Overhead,,meh.unadmin.ElectricLine,2,High Voltage Conductor,25,DC Underground,,meh.unadmin.ElectricJunction,3,High Voltage Line End,44,DC Riser,
1931,EdgeJunctionEdgeConnectivity,meh.unadmin.ElectricLine,5,Low Voltage Busbar,80,Cabinet,,meh.unadmin.ElectricLine,6,Low Voltage Conductor,102,Underground,,meh.unadmin.ElectricJunction,6,Low Voltage Line End,101,Underground Terminator,
1932,EdgeJunctionEdgeConnectivity,meh.unadmin.ElectricLine,5,Low Voltage Busbar,80,Cabinet,,meh.unadmin.ElectricLine,7,Low Voltage Connector,120,Connector,,meh.unadmin.ElectricJunction,6,Low Voltage Line End,101,Underground Terminator,
1933,EdgeJunctionEdgeConnectivity,meh.unadmin.ElectricLine,6,Low Voltage Conductor,100,Overhead,,meh.unadmin.ElectricLine,6,Low Voltage Conductor,101,Submersible,,meh.unadmin.ElectricJunction,6,Low Voltage Line End,103,Riser,
1934,EdgeJunctionEdgeConnectivity,meh.unadmin.ElectricLine,6,Low Voltage Conductor,100,Overhead,,meh.unadmin.ElectricLine,6,Low Voltage Conductor,102,Underground,,meh.unadmin.ElectricJunction,6,Low Voltage Line End,103,Riser,
1935,EdgeJunctionEdgeConnectivity,meh.unadmin.ElectricLine,8,Medium Voltage Busbar,140,Cabinet Single Phase,,meh.unadmin.ElectricLine,10,Medium Voltage Connector,180,Single Phase,,meh.unadmin.ElectricDevice,37,Medium Voltage Switch,755,Underground Single Phase Disconnect,Single Terminal
1936,EdgeJunctionEdgeConnectivity,meh.unadmin.ElectricLine,8,Medium Voltage Busbar,140,Cabinet Single Phase,,meh.unadmin.ElectricLine,10,Medium Voltage Connector,180,Single Phase,,meh.unadmin.ElectricDevice,37,Medium Voltage Switch,758,Underground Single Phase Load Break,Single Terminal
1937,EdgeJunctionEdgeConnectivity,meh.unadmin.ElectricLine,8,Medium Voltage Busbar,143,Station Three Phase,,meh.unadmin.ElectricLine,9,Medium Voltage Conductor,166,Underground Three Phase,,meh.unadmin.ElectricJunction,9,Medium Voltage Line End,103,Riser,
