RuleID,RuleType,FromClassName,FromAssetGroupCode,FROMASSETGROUP,FromAssetTypeCode,FROMASSETTYPE,FromTerminal,ToClassName,ToAssetGroupCode,TOASSETGROUP,ToAssetTypeCode,TOASSETTYPE,ToTerminal,ViaClassName,ViaAssetGroupCode,ViaAssetGroup,ViaAssetTypeCode,ViaAssetType,ViaTerminal
2339,JunctionEdgeConnectivity,meh.unadmin.ElectricJunction,1,High Voltage Attachment,1,AC Overhead,,meh.unadmin.ElectricLine,2,High Voltage Conductor,20,AC Overhead,,,,,,,
2340,JunctionEdgeConnectivity,meh.unadmin.ElectricJunction,1,High Voltage Attachment,3,DC Overhead,,meh.unadmin.ElectricLine,2,High Voltage Conductor,23,DC Overhead,,,,,,,
2344,JunctionEdgeConnectivity,meh.unadmin.ElectricJunction,2,High Voltage Connection Point,21,AC Tap,,meh.unadmin.ElectricLine,2,High Voltage Conductor,20,AC Overhead,,,,,,,
2345,JunctionEdgeConnectivity,meh.unadmin.ElectricJunction,2,High Voltage Connection Point,21,AC Tap,,meh.unadmin.ElectricLine,3,High Voltage Connector,40,AC Connector,,,,,,,
2348,JunctionEdgeConnectivity,meh.unadmin.ElectricJunction,2,High Voltage Connection Point,23,DC Tap,,meh.unadmin.ElectricLine,3,High Voltage Connector,41,DC Connector,,,,,,,
2341,JunctionEdgeConnectivity,meh.unadmin.ElectricJunction,2,High Voltage Connection Point,24,AC Busbar Tap,,meh.unadmin.ElectricLine,1,High Voltage Busbar,1,AC Station Single Phase,,,,,,,
2342,JunctionEdgeConnectivity,meh.unadmin.ElectricJunction,2,High Voltage Connection Point,24,AC Busbar Tap,,meh.unadmin.ElectricLine,1,High Voltage Busbar,2,AC Station Three Phase,,,,,,,
2343,JunctionEdgeConnectivity,meh.unadmin.ElectricJunction,2,High Voltage Connection Point,24,AC Busbar Tap,,meh.unadmin.ElectricLine,3,High Voltage Connector,40,AC Connector,,,,,,,
2346,JunctionEdgeConnectivity,meh.unadmin.ElectricJunction,2,High Voltage Connection Point,25,DC Busbar Tap,,meh.unadmin.ElectricLine,1,High Voltage Busbar,3,DC Station,,,,,,,
2347,JunctionEdgeConnectivity,meh.unadmin.ElectricJunction,2,High Voltage Connection Point,25,DC Busbar Tap,,meh.unadmin.ElectricLine,3,High Voltage Connector,41,DC Connector,,,,,,,
2349,JunctionEdgeConnectivity,meh.unadmin.ElectricJunction,3,High Voltage Line End,41,AC,,meh.unadmin.ElectricLine,2,High Voltage Conductor,20,AC Overhead,,,,,,,
2350,JunctionEdgeConnectivity,meh.unadmin.ElectricJunction,3,High Voltage Line End,41,AC,,meh.unadmin.ElectricLine,3,High Voltage Connector,40,AC Connector,,,,,,,
2355,JunctionEdgeConnectivity,meh.unadmin.ElectricJunction,3,High Voltage Line End,42,DC,,meh.unadmin.ElectricLine,3,High Voltage Connector,41,DC Connector,,,,,,,
2354,JunctionEdgeConnectivity,meh.unadmin.ElectricJunction,3,High Voltage Line End,43,AC Riser,,meh.unadmin.ElectricLine,3,High Voltage Connector,40,AC Connector,,,,,,,
2358,JunctionEdgeConnectivity,meh.unadmin.ElectricJunction,3,High Voltage Line End,44,DC Riser,,meh.unadmin.ElectricLine,3,High Voltage Connector,41,DC Connector,,,,,,,
2351,JunctionEdgeConnectivity,meh.unadmin.ElectricJunction,3,High Voltage Line End,45,AC Busbar Terminator,,meh.unadmin.ElectricLine,1,High Voltage Busbar,1,AC Station Single Phase,,,,,,,
2352,JunctionEdgeConnectivity,meh.unadmin.ElectricJunction,3,High Voltage Line End,45,AC Busbar Terminator,,meh.unadmin.ElectricLine,1,High Voltage Busbar,2,AC Station Three Phase,,,,,,,
2353,JunctionEdgeConnectivity,meh.unadmin.ElectricJunction,3,High Voltage Line End,45,AC Busbar Terminator,,meh.unadmin.ElectricLine,3,High Voltage Connector,40,AC Connector,,,,,,,
2356,JunctionEdgeConnectivity,meh.unadmin.ElectricJunction,3,High Voltage Line End,46,DC Busbar Terminator,,meh.unadmin.ElectricLine,1,High Voltage Busbar,3,DC Station,,,,,,,
2357,JunctionEdgeConnectivity,meh.unadmin.ElectricJunction,3,High Voltage Line End,46,DC Busbar Terminator,,meh.unadmin.ElectricLine,3,High Voltage Connector,41,DC Connector,,,,,,,
2359,JunctionEdgeConnectivity,meh.unadmin.ElectricJunction,4,Low Voltage Attachment,60,Overhead,,meh.unadmin.ElectricLine,6,Low Voltage Conductor,100,Overhead,,,,,,,
1956,JunctionEdgeConnectivity,meh.unadmin.ElectricDevice,4,High Voltage Generation,61,Battery,CB:Bus Side,meh.unadmin.ElectricLine,3,High Voltage Connector,40,AC Connector,,,,,,,
1958,JunctionEdgeConnectivity,meh.unadmin.ElectricDevice,4,High Voltage Generation,61,Battery,CB:Line Side,meh.unadmin.ElectricLine,3,High Voltage Connector,40,AC Connector,,,,,,,
1957,JunctionEdgeConnectivity,meh.unadmin.ElectricDevice,4,High Voltage Generation,61,Battery,CB:Bus Side,meh.unadmin.ElectricLine,3,High Voltage Connector,41,DC Connector,,,,,,,
1959,JunctionEdgeConnectivity,meh.unadmin.ElectricDevice,4,High Voltage Generation,61,Battery,CB:Line Side,meh.unadmin.ElectricLine,3,High Voltage Connector,41,DC Connector,,,,,,,
2360,JunctionEdgeConnectivity,meh.unadmin.ElectricJunction,4,Low Voltage Attachment,61,Underground,,meh.unadmin.ElectricLine,6,Low Voltage Conductor,101,Submersible,,,,,,,
2361,JunctionEdgeConnectivity,meh.unadmin.ElectricJunction,4,Low Voltage Attachment,61,Underground,,meh.unadmin.ElectricLine,6,Low Voltage Conductor,102,Underground,,,,,,,
1960,JunctionEdgeConnectivity,meh.unadmin.ElectricDevice,4,High Voltage Generation,62,Biomass,CB:Bus Side,meh.unadmin.ElectricLine,3,High Voltage Connector,40,AC Connector,,,,,,,
1961,JunctionEdgeConnectivity,meh.unadmin.ElectricDevice,4,High Voltage Generation,62,Biomass,CB:Line Side,meh.unadmin.ElectricLine,3,High Voltage Connector,40,AC Connector,,,,,,,
1962,JunctionEdgeConnectivity,meh.unadmin.ElectricDevice,4,High Voltage Generation,63,Coal,CB:Bus Side,meh.unadmin.ElectricLine,3,High Voltage Connector,40,AC Connector,,,,,,,
1963,JunctionEdgeConnectivity,meh.unadmin.ElectricDevice,4,High Voltage Generation,63,Coal,CB:Line Side,meh.unadmin.ElectricLine,3,High Voltage Connector,40,AC Connector,,,,,,,
1964,JunctionEdgeConnectivity,meh.unadmin.ElectricDevice,4,High Voltage Generation,64,Gas Turbine,CB:Bus Side,meh.unadmin.ElectricLine,3,High Voltage Connector,40,AC Connector,,,,,,,
1965,JunctionEdgeConnectivity,meh.unadmin.ElectricDevice,4,High Voltage Generation,64,Gas Turbine,CB:Line Side,meh.unadmin.ElectricLine,3,High Voltage Connector,40,AC Connector,,,,,,,
1966,JunctionEdgeConnectivity,meh.unadmin.ElectricDevice,4,High Voltage Generation,65,Geothermal,CB:Bus Side,meh.unadmin.ElectricLine,3,High Voltage Connector,40,AC Connector,,,,,,,
1967,JunctionEdgeConnectivity,meh.unadmin.ElectricDevice,4,High Voltage Generation,65,Geothermal,CB:Line Side,meh.unadmin.ElectricLine,3,High Voltage Connector,40,AC Connector,,,,,,,
1968,JunctionEdgeConnectivity,meh.unadmin.ElectricDevice,4,High Voltage Generation,66,Hydro,CB:Bus Side,meh.unadmin.ElectricLine,3,High Voltage Connector,40,AC Connector,,,,,,,
1969,JunctionEdgeConnectivity,meh.unadmin.ElectricDevice,4,High Voltage Generation,66,Hydro,CB:Line Side,meh.unadmin.ElectricLine,3,High Voltage Connector,40,AC Connector,,,,,,,
1970,JunctionEdgeConnectivity,meh.unadmin.ElectricDevice,4,High Voltage Generation,67,Nuclear,CB:Bus Side,meh.unadmin.ElectricLine,3,High Voltage Connector,40,AC Connector,,,,,,,
1971,JunctionEdgeConnectivity,meh.unadmin.ElectricDevice,4,High Voltage Generation,67,Nuclear,CB:Line Side,meh.unadmin.ElectricLine,3,High Voltage Connector,40,AC Connector,,,,,,,
1972,JunctionEdgeConnectivity,meh.unadmin.ElectricDevice,4,High Voltage Generation,68,Photovoltaic Solar,CB:Bus Side,meh.unadmin.ElectricLine,3,High Voltage Connector,40,AC Connector,,,,,,,
1974,JunctionEdgeConnectivity,meh.unadmin.ElectricDevice,4,High Voltage Generation,68,Photovoltaic Solar,CB:Line Side,meh.unadmin.ElectricLine,3,High Voltage Connector,40,AC Connector,,,,,,,
1973,JunctionEdgeConnectivity,meh.unadmin.ElectricDevice,4,High Voltage Generation,68,Photovoltaic Solar,CB:Bus Side,meh.unadmin.ElectricLine,3,High Voltage Connector,41,DC Connector,,,,,,,
1975,JunctionEdgeConnectivity,meh.unadmin.ElectricDevice,4,High Voltage Generation,68,Photovoltaic Solar,CB:Line Side,meh.unadmin.ElectricLine,3,High Voltage Connector,41,DC Connector,,,,,,,
1976,JunctionEdgeConnectivity,meh.unadmin.ElectricDevice,4,High Voltage Generation,69,Thermal Solar,CB:Bus Side,meh.unadmin.ElectricLine,3,High Voltage Connector,40,AC Connector,,,,,,,
1978,JunctionEdgeConnectivity,meh.unadmin.ElectricDevice,4,High Voltage Generation,69,Thermal Solar,CB:Line Side,meh.unadmin.ElectricLine,3,High Voltage Connector,40,AC Connector,,,,,,,
1977,JunctionEdgeConnectivity,meh.unadmin.ElectricDevice,4,High Voltage Generation,69,Thermal Solar,CB:Bus Side,meh.unadmin.ElectricLine,3,High Voltage Connector,41,DC Connector,,,,,,,
