RuleID,RuleType,FromClassName,FromAssetGroupCode,FROMASSETGROUP,FromAssetTypeCode,FROMASSETTYPE,FromTerminal,ToClassName,ToAssetGroupCode,TOASSETGROUP,ToAssetTypeCode,TOASSETTYPE,ToTerminal,ViaClassName,ViaAssetGroupCode,ViaAssetGroup,ViaAssetTypeCode,ViaAssetType,ViaTerminal
2434,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,1,Ground,2,Rod,Single Terminal,meh.unadmin.ElectricJunction,6,Low Voltage Line End,100,Overhead Line End,,,,,,,
2435,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,1,Ground,2,Rod,Single Terminal,meh.unadmin.ElectricJunction,6,Low Voltage Line End,101,Underground Terminator,,,,,,,
2436,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,1,Ground,2,Rod,Single Terminal,meh.unadmin.ElectricJunction,8,Medium Voltage Connection Point,82,Overhead Tap,,,,,,,
2437,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,1,Ground,2,Rod,Single Terminal,meh.unadmin.ElectricJunction,9,Medium Voltage Line End,100,Overhead Line End,,,,,,,
2438,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,1,Ground,2,Rod,Single Terminal,meh.unadmin.ElectricJunction,9,Medium Voltage Line End,101,Underground Terminator,,,,,,,
2439,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,21,HV Indoor Arrester,Single Terminal,meh.unadmin.ElectricDevice,5,High Voltage Line Monitor and Relay,80,HV Fault Indicator,Single Terminal,,,,,,
2440,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,21,HV Indoor Arrester,Single Terminal,meh.unadmin.ElectricDevice,5,High Voltage Line Monitor and Relay,81,HV Instrument Transformer,Single Terminal,,,,,,
2441,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,21,HV Indoor Arrester,Single Terminal,meh.unadmin.ElectricDevice,5,High Voltage Line Monitor and Relay,82,HV Load Monitor,Single Terminal,,,,,,
2442,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,21,HV Indoor Arrester,Single Terminal,meh.unadmin.ElectricDevice,5,High Voltage Line Monitor and Relay,83,HV Relay,RT:Aux Power,,,,,,
2443,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,21,HV Indoor Arrester,Single Terminal,meh.unadmin.ElectricDevice,5,High Voltage Line Monitor and Relay,83,HV Relay,RT:Measured Power,,,,,,
2444,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,21,HV Indoor Arrester,Single Terminal,meh.unadmin.ElectricDevice,6,High Voltage Power Conversion,101,Inverter,INV:AC Output,,,,,,
2445,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,21,HV Indoor Arrester,Single Terminal,meh.unadmin.ElectricDevice,6,High Voltage Power Conversion,102,Rectifier,RT:AC Input,,,,,,
2446,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,21,HV Indoor Arrester,Single Terminal,meh.unadmin.ElectricDevice,7,High Voltage Power Factor Correcting,121,AC Capacitor,Single Terminal,,,,,,
2448,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,21,HV Indoor Arrester,Single Terminal,meh.unadmin.ElectricDevice,7,High Voltage Power Factor Correcting,122,AC Wave Trap,Single Terminal,,,,,,
2447,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,21,HV Indoor Arrester,Single Terminal,meh.unadmin.ElectricDevice,7,High Voltage Power Factor Correcting,123,AC Reactor,Single Terminal,,,,,,
2449,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,21,HV Indoor Arrester,Single Terminal,meh.unadmin.ElectricDevice,8,High Voltage Regulator,141,AC Single Phase,VR:In Bushing,,,,,,
2450,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,21,HV Indoor Arrester,Single Terminal,meh.unadmin.ElectricDevice,8,High Voltage Regulator,141,AC Single Phase,VR:Out Bushing,,,,,,
2451,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,21,HV Indoor Arrester,Single Terminal,meh.unadmin.ElectricDevice,8,High Voltage Regulator,142,AC Three Phase,VR:In Bushing,,,,,,
2452,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,21,HV Indoor Arrester,Single Terminal,meh.unadmin.ElectricDevice,8,High Voltage Regulator,142,AC Three Phase,VR:Out Bushing,,,,,,
2453,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,21,HV Indoor Arrester,Single Terminal,meh.unadmin.ElectricDevice,8,High Voltage Regulator,143,DC Regulator,VR:In Bushing,,,,,,
2454,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,21,HV Indoor Arrester,Single Terminal,meh.unadmin.ElectricDevice,8,High Voltage Regulator,143,DC Regulator,VR:Out Bushing,,,,,,
2455,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,21,HV Indoor Arrester,Single Terminal,meh.unadmin.ElectricDevice,9,High Voltage Service,161,AC Metering,Single Terminal,,,,,,
2456,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,21,HV Indoor Arrester,Single Terminal,meh.unadmin.ElectricDevice,10,High Voltage Switch,181,AC Circuit Breaker,SS:S1,,,,,,
2457,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,21,HV Indoor Arrester,Single Terminal,meh.unadmin.ElectricDevice,10,High Voltage Switch,182,AC Disconnect,SS:S1,,,,,,
2458,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,21,HV Indoor Arrester,Single Terminal,meh.unadmin.ElectricDevice,10,High Voltage Switch,183,AC Switchgear,Single Terminal,,,,,,
2459,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,21,HV Indoor Arrester,Single Terminal,meh.unadmin.ElectricDevice,11,High Voltage Transformer,201,AC Single Phase Power,XFR:High,,,,,,
2460,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,21,HV Indoor Arrester,Single Terminal,meh.unadmin.ElectricDevice,11,High Voltage Transformer,201,AC Single Phase Power,XFR:Low,,,,,,
2461,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,21,HV Indoor Arrester,Single Terminal,meh.unadmin.ElectricDevice,11,High Voltage Transformer,202,AC Three Phase Power,XFR:High,,,,,,
2462,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,21,HV Indoor Arrester,Single Terminal,meh.unadmin.ElectricDevice,11,High Voltage Transformer,202,AC Three Phase Power,XFR:Low,,,,,,
2463,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,21,HV Indoor Arrester,Single Terminal,meh.unadmin.ElectricDevice,11,High Voltage Transformer,204,HV Grounding Transformer,Single Terminal,,,,,,
2464,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,23,HV Station Arrester,Single Terminal,meh.unadmin.ElectricDevice,5,High Voltage Line Monitor and Relay,80,HV Fault Indicator,Single Terminal,,,,,,
2465,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,23,HV Station Arrester,Single Terminal,meh.unadmin.ElectricDevice,5,High Voltage Line Monitor and Relay,81,HV Instrument Transformer,Single Terminal,,,,,,
2466,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,23,HV Station Arrester,Single Terminal,meh.unadmin.ElectricDevice,5,High Voltage Line Monitor and Relay,82,HV Load Monitor,Single Terminal,,,,,,
2467,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,23,HV Station Arrester,Single Terminal,meh.unadmin.ElectricDevice,5,High Voltage Line Monitor and Relay,83,HV Relay,RT:Aux Power,,,,,,
2468,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,23,HV Station Arrester,Single Terminal,meh.unadmin.ElectricDevice,5,High Voltage Line Monitor and Relay,83,HV Relay,RT:Measured Power,,,,,,
2469,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,23,HV Station Arrester,Single Terminal,meh.unadmin.ElectricDevice,6,High Voltage Power Conversion,101,Inverter,INV:AC Output,,,,,,
2470,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,23,HV Station Arrester,Single Terminal,meh.unadmin.ElectricDevice,6,High Voltage Power Conversion,102,Rectifier,RT:AC Input,,,,,,
2471,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,23,HV Station Arrester,Single Terminal,meh.unadmin.ElectricDevice,7,High Voltage Power Factor Correcting,121,AC Capacitor,Single Terminal,,,,,,
2473,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,23,HV Station Arrester,Single Terminal,meh.unadmin.ElectricDevice,7,High Voltage Power Factor Correcting,122,AC Wave Trap,Single Terminal,,,,,,
2472,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,23,HV Station Arrester,Single Terminal,meh.unadmin.ElectricDevice,7,High Voltage Power Factor Correcting,123,AC Reactor,Single Terminal,,,,,,
2474,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,23,HV Station Arrester,Single Terminal,meh.unadmin.ElectricDevice,8,High Voltage Regulator,141,AC Single Phase,VR:In Bushing,,,,,,
2475,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,23,HV Station Arrester,Single Terminal,meh.unadmin.ElectricDevice,8,High Voltage Regulator,141,AC Single Phase,VR:Out Bushing,,,,,,
2476,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,23,HV Station Arrester,Single Terminal,meh.unadmin.ElectricDevice,8,High Voltage Regulator,142,AC Three Phase,VR:In Bushing,,,,,,
2477,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,23,HV Station Arrester,Single Terminal,meh.unadmin.ElectricDevice,8,High Voltage Regulator,142,AC Three Phase,VR:Out Bushing,,,,,,
2478,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,23,HV Station Arrester,Single Terminal,meh.unadmin.ElectricDevice,8,High Voltage Regulator,143,DC Regulator,VR:In Bushing,,,,,,
2479,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,23,HV Station Arrester,Single Terminal,meh.unadmin.ElectricDevice,8,High Voltage Regulator,143,DC Regulator,VR:Out Bushing,,,,,,
2480,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,23,HV Station Arrester,Single Terminal,meh.unadmin.ElectricDevice,9,High Voltage Service,161,AC Metering,Single Terminal,,,,,,
2481,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,23,HV Station Arrester,Single Terminal,meh.unadmin.ElectricDevice,10,High Voltage Switch,181,AC Circuit Breaker,SS:S1,,,,,,
2482,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,23,HV Station Arrester,Single Terminal,meh.unadmin.ElectricDevice,10,High Voltage Switch,182,AC Disconnect,SS:S1,,,,,,
2483,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,23,HV Station Arrester,Single Terminal,meh.unadmin.ElectricDevice,10,High Voltage Switch,183,AC Switchgear,Single Terminal,,,,,,
2484,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,23,HV Station Arrester,Single Terminal,meh.unadmin.ElectricDevice,11,High Voltage Transformer,201,AC Single Phase Power,XFR:Low,,,,,,
2485,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,23,HV Station Arrester,Single Terminal,meh.unadmin.ElectricDevice,11,High Voltage Transformer,202,AC Three Phase Power,XFR:High,,,,,,
2486,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,23,HV Station Arrester,Single Terminal,meh.unadmin.ElectricDevice,11,High Voltage Transformer,202,AC Three Phase Power,XFR:Low,,,,,,
2487,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,2,High Voltage Arrester,23,HV Station Arrester,Single Terminal,meh.unadmin.ElectricDevice,11,High Voltage Transformer,204,HV Grounding Transformer,Single Terminal,,,,,,
2488,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,3,High Voltage Control Unit,41,HV Capacitor,Monitor,meh.unadmin.ElectricDevice,7,High Voltage Power Factor Correcting,121,AC Capacitor,Single Terminal,,,,,,
2489,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,3,High Voltage Control Unit,41,HV Capacitor,Monitor,meh.unadmin.ElectricDevice,7,High Voltage Power Factor Correcting,123,AC Reactor,Single Terminal,,,,,,
2490,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,3,High Voltage Control Unit,42,Switch and Breaker,Monitor,meh.unadmin.ElectricDevice,10,High Voltage Switch,181,AC Circuit Breaker,SS:S1,,,,,,
2491,JunctionJunctionConnectivity,meh.unadmin.ElectricDevice,3,High Voltage Control Unit,42,Switch and Breaker,Monitor,meh.unadmin.ElectricDevice,10,High Voltage Switch,182,AC Disconnect,SS:S1,,,,,,
